S	0	1377	*	*	*	*	*	aba:Acid345_3931	*
H	0	1401	53.4	+	0	0	6I321M13D22M11D462M2I13M5D340M24D190M21I	vpa:VPA0192	aba:Acid345_3931
H	0	1401	53.7	+	0	0	6I321M13D22M11D462M2I13M5D340M24D190M21I	vpb:VPBB_A0178	aba:Acid345_3931
H	0	1401	53.5	+	0	0	6I321M13D22M11D462M2I13M5D340M24D190M21I	vpf:M634_19065	aba:Acid345_3931
H	0	1401	53.5	+	0	0	6I321M13D22M11D462M2I13M5D340M24D190M21I	vph:VPUCM_20185	aba:Acid345_3931
H	0	1401	53.7	+	0	0	6I321M13D22M11D462M2I13M5D340M24D190M21I	vpk:M636_00290	aba:Acid345_3931
H	1	1401	50.4	+	0	0	39I28M3I305M3D15M21D164MI29MD258M7D23M3D24M4I81M4D22M4I124M2D16M2I60M3D192M2I6MI10M51I	vro:BSZ04_05365	asx:CDL62_16620
S	6	240	*	*	*	*	*	vsc:VSVS12_04541	*
H	2	1461	54.6	+	0	0	42D311M30D467M3I39M9D136M3I363M9D22M33D	vsh:BSZ05_15630	bip:Bint_2781
H	2	1473	53.3	+	0	0	42D311M30D471M5D22MD152M3I385M54D	vsp:VS_1262	bip:Bint_2781
H	2	1410	54.9	+	0	0	33D315M30D468MI7M6D31MD129M6I25M3D346M4I12M4D	vtu:IX91_08130	bip:Bint_2781
H	2	1422	51.2	+	0	0	42D311M30D468MD27M5D173M3I362M3D	vvl:VV93_v1c42380	bip:Bint_2781
H	0	1422	52.0	+	0	0	4D18MI331M30D491M9D139M3I183M9D20M15D154M9I19M9I	vvm:VVMO6_04222	aba:Acid345_3931
H	0	1422	52.3	+	0	0	4D18MI336M15D7M15D479M9D123M2I49MI150M9D20M15D154M9I19M9I	vvu:VV2_0854	aba:Acid345_3931
H	0	1422	52.3	+	0	0	4D18MI331M30D491M9D123M2I49MI150M9D20M15D154M9I19M9I	vvy:VVA1325	aba:Acid345_3931
H	2	1377	57.9	+	0	0	36D777M3I463M7D22M4I72M3I	wvi:Weevi_1094	bip:Bint_2781
H	2	1410	59.0	+	0	0	33D299M6D8M18D1037M9D	xbv:XBW1_0706	bip:Bint_2781
H	2	1404	58.9	+	0	0	36D290M13D18M8D163M3I848M9D19M3I	xdo:XDD1_0413	bip:Bint_2781
H	2	1407	60.6	+	0	0	33D300M25D17MI1026M6D	xho:A9255_12890	bip:Bint_2781
H	2	1404	58.9	+	0	0	36D282M5D19M7D8M10D20MI139M3I850MD22M5D	xne:XNC1_0444	bip:Bint_2781
H	2	1404	58.9	+	0	0	36D282M5D19M7D8M10D20MI139M3I850MD22M5D	xnm:XNC2_0435	bip:Bint_2781
H	2	1401	56.7	+	0	0	33D300M8D13M16D1031M	yee:YE5303_26881	bip:Bint_2781
H	2	1401	56.4	+	0	0	33D311M24D1033M	yef:FORC2_3446	bip:Bint_2781
H	2	1401	55.9	+	0	0	33D281M12D28M12D1035M	yel:LC20_04527	bip:Bint_2781
H	2	1401	56.2	+	0	0	33D311M24D1033M	yen:YE0650	bip:Bint_2781
H	2	1401	56.1	+	0	0	33D311M24D1033M	yep:YE105_C0770	bip:Bint_2781
H	2	1401	56.1	+	0	0	33D311M24D1033M	yet:CH48_953	bip:Bint_2781
H	2	1401	56.3	+	0	0	33D311M24D1033M	yew:CH47_2831	bip:Bint_2781
H	2	648	57.4	+	0	0	696I648M	yey:Y11_38811	bip:Bint_2781
H	0	1401	54.4	+	0	0	6I321M3D12M10D11M11D149MD16M4I18M3D276M3D354M10D13M14D176M21I	yfr:AW19_3989	aba:Acid345_3931
H	0	1401	53.0	+	0	0	6I321M11D14M13D472M3D353M24D190M21I	yin:CH53_1040	aba:Acid345_3931
H	0	1401	54.4	+	0	0	6I321M3D12M10D11M11D149MD16M4I18M3D276M3D354M10D13M14D176M21I	ykr:CH54_1801	aba:Acid345_3931
C	0	284	*	*	*	*	*	aba:Acid345_3931	*
C	1	19	*	*	*	*	*	asx:CDL62_16620	*
C	2	139	*	*	*	*	*	bip:Bint_2781	*
C	3	10	*	*	*	*	*	clb:Clo1100_1733	*
C	4	2	*	*	*	*	*	cmq:B840_02180	*
C	5	5	*	*	*	*	*	ela:UCREL1_916	*
C	6	1	*	*	*	*	*	vsc:VSVS12_04541	*
